,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,0,1,0.06916996047430829,2.108871081653559
1,0,16,0.10474308300395256,1.8663017737528522
2,0,21,0.08695652173913043,0.8773409575628239
3,0,4,0.16403162055335968,4.193613746959069
4,0,5,0.0533596837944664,0.8283853966211872
5,1,2,0.08695652173913043,1.0
6,1,3,0.1067193675889328,2.611439008292571
7,1,5,0.03359683794466403,0.17161460337881282
8,1,6,0.12252964426877469,1.4154998350066605
9,1,9,0.035573122529644265,0.10613987874206147
10,10,6,0.08695652173913043,1.0
11,11,3,0.08695652173913043,1.294273645815989
12,12,8,0.08695652173913043,1.0
13,13,16,0.05731225296442687,0.8008270491161008
14,13,18,0.08695652173913043,0.9469300606289692
15,13,7,0.09486166007905138,1.212279757484123
16,13,9,0.10079051383399208,1.4177636113559626
17,14,15,0.1660079051383399,2.8683112266214357
18,14,17,0.08695652173913043,0.9684997151556403
19,14,4,0.225296442687747,3.6362155772218836
20,14,6,0.14624505928853754,1.6924409680868853
21,15,19,0.08695652173913043,0.8754459182252377
22,20,3,0.08695652173913043,1.122659042437176
23,22,8,0.08695652173913043,0.6750125551849546
24,3,8,0.17786561264822134,4.022891716660592
25,4,8,0.23913043478260868,5.76268257696101
26,6,7,0.09486166007905138,0.6960030941011801
27,8,9,0.12055335968379446,2.20548385387184
