,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,0,1,0.33986928104575165,5.189463492573312
1,0,16,0.11111111111111112,0.8013720714492236
2,0,2,0.238562091503268,2.022395465514457
3,0,6,0.20261437908496732,1.3348846809919297
4,0,8,0.238562091503268,2.7384081588891327
5,1,4,0.32026143790849676,5.056598312529668
6,1,5,0.20915032679738563,4.313231304569682
7,10,11,0.058823529411764705,1.1297532392461256
8,10,14,0.11111111111111112,0.6308648771377359
9,10,7,0.16339869281045752,3.930733112238783
10,11,9,0.13071895424836602,1.3914829935215969
11,12,9,0.11111111111111112,0.9776521293406679
12,13,8,0.11111111111111112,0.9058784010059127
13,15,2,0.11111111111111112,0.985435366936432
14,17,5,0.11111111111111112,0.6987971541300291
15,2,3,0.05555555555555556,0.9058784010059127
16,3,8,0.05555555555555556,0.985435366936432
17,4,7,0.23529411764705882,4.192462866514254
18,4,9,0.10457516339869281,0.6917971743772717
19,6,9,0.18300653594771243,1.1178506680351235
