Nodes;Y;X
Node_0;-0.13467113502905986;0.28955425443409966
Node_1;0.14779839001532258;0.45687626725384756
Node_2;-0.6907465112757588;0.24565736663356
Node_3;-0.9826282005691392;0.42449924931958816
Node_4;0.1895553340915979;-0.11523662426800753
Node_5;0.2272771113646663;0.8744384103721249
Node_6;0.3020550046637819;0.033620038171121684
Node_7;0.15030884663574845;-0.6807838015331665
Node_8;-0.6644049651818843;0.5467837037218811
Node_9;0.49708000355389953;-0.3456276284286153
Node_10;0.358619941752616;-1.0
Node_11;0.599756179978209;-0.7297812356764315
Node_12;0.5394145033566051;-0.36797018864890463
Node_13;-0.6324295090225841;0.5857729730329997
Node_14;0.3599169872755692;-1.0255035398931203
Node_15;-0.6583223516660177;0.21703366297106955
Node_16;-0.1105244298055889;0.30254827489306774
Node_17;0.270017837217183;0.8476292292327667
