,Node,Degree Centrality,Degree Centrality Absolute,Degree Centrality Scaled,Degree Centrality Scaled Cap,Closeness Centrality,Adjusted Closeness Centrality
0,0,0.29411764705882354,5.0,1.0,,0.15315315315315314,
1,1,0.1764705882352941,2.9999999999999996,0.5999999999999999,0.5999999999999999,0.1559633027522936,1.0455495951935077
2,2,0.1764705882352941,2.9999999999999996,0.5999999999999999,,0.1259259259259259,
3,3,0.11764705882352941,2.0,0.4,0.4,0.09714285714285714,0.5084463642858874
4,4,0.1764705882352941,2.9999999999999996,0.5999999999999999,0.5999999999999999,0.1452991452991453,0.939009643492492
5,5,0.11764705882352941,2.0,0.4,,0.10303030303030303,
6,6,0.11764705882352941,2.0,0.4,0.4,0.12781954887218044,0.6513992371301052
7,7,0.11764705882352941,2.0,0.4,0.4,0.12318840579710146,0.8679086132651316
8,8,0.1764705882352941,2.9999999999999996,0.5999999999999999,,0.1259259259259259,
9,9,0.23529411764705882,4.0,0.8,,0.1297709923664122,
10,10,0.1764705882352941,2.9999999999999996,0.5999999999999999,,0.09941520467836257,
11,11,0.11764705882352941,2.0,0.4,0.4,0.09659090909090909,0.6438611695145421
12,12,0.058823529411764705,1.0,0.2,,0.11564625850340136,
13,13,0.058823529411764705,1.0,0.2,,0.11258278145695365,
14,14,0.058823529411764705,1.0,0.2,,0.09090909090909091,
15,15,0.058823529411764705,1.0,0.2,,0.11258278145695365,
16,16,0.058823529411764705,1.0,0.2,,0.13385826771653545,
17,17,0.058823529411764705,1.0,0.2,,0.09392265193370165,
