Nodes;Y;X
Node_0;0.3293494575049659;0.25363654107655553
Node_1;0.18600369327764243;0.15707419595182395
Node_2;-0.037174018175840734;-0.1733913211056287
Node_3;0.08333673266775017;0.07938134555043297
Node_4;0.22868725654375377;0.360154708513237
Node_5;0.09060198847052507;0.3651792027738393
Node_6;0.1570230540873637;0.03296629242313706
Node_7;0.4290382516524291;-0.205988613842965
Node_8;-0.08019464035126043;0.12373091052257783
Node_9;-0.32956824939949714;0.030059761787168904
Node_10;0.3331072299225035;-0.34807405653630913
Node_11;0.07836315667143154;-0.06204763842499665
Node_12;-0.27531183833958545;0.23987147109382478
Node_13;-0.31045187053186085;0.2823841218705857
Node_14;0.08942761282152423;-0.16058540975856408
Node_15;0.19739397091890437;-0.1906786839089226
Node_16;-0.49869921417322427;0.2712982096723449
Node_17;0.11868131119250061;-0.13425116100587575
Node_18;-0.49526755691205193;-0.17044182656154927
Node_19;-0.5963907656750578;-0.5273855626587121
Node_20;0.12564629446994088;-0.5671991881927309
Node_21;-0.19421927898289018;0.20239667759506189
Node_22;-0.10293530042011136;-0.3550863784679718
Node_23;-0.24434728182183296;-0.043491679838402936
Node_24;-0.15821646095221645;-0.47326801764153403
Node_25;0.3084220565057176;-0.022037395095772204
Node_26;0.21586278163947686;0.023082168625629583
Node_27;0.4372119621766665;0.34843732219476486
Node_28;-0.025502381902041585;0.2746210782949383
Node_29;-0.1370087083596474;-0.17209956826152384
Node_30;-0.2410154704798088;0.08316462870456315
Node_31;-0.09755809565184684;-0.11570255404980426
Node_32;0.19032100860993958;-0.6718073067286167
Node_33;-0.4177753564244306;0.4955734059740363
Node_34;-0.44075435113955974;0.07546186119748134
Node_35;0.5566853254471653;-0.013077776732945934
Node_36;-0.1588750653510844;0.4449199126327554
Node_37;0.19068697689450956;0.3045713158053124
Node_38;0.14907055415330228;-0.37854508287760363
Node_39;0.2788519977778331;0.14536154727238068
Node_40;0.02232213097941063;-0.20871129180139747
Node_41;0.33937558353788844;-0.18536114740025894
Node_42;-0.035198671190325916;0.42458909133806966
Node_43;-0.3052261741332597;0.5215689670399785
Node_44;0.14185233734867905;0.6701954906865877
Node_45;-0.7474680531408986;-0.2795555531746047
Node_46;0.2852943230999276;-0.41840703277848984
Node_47;0.44928575394777104;0.4656528673187263
Node_48;-0.049115291825263724;0.2018611509293752
Node_49;-0.03362870698592864;-1.0
Node_50;-0.31657422894052906;0.07280048763968561
Node_51;0.402229070513071;-0.17607610098095672
Node_52;-0.7456515494556272;-0.3063999906928979
Node_53;-0.07058361885176628;-0.1736124242558493
Node_54;0.09770007688305622;-0.1921516110157161
Node_55;0.2845967215985267;-0.35096073364726305
Node_56;0.3312463893240437;0.019822654081582132
Node_57;-0.09038189984656496;-0.31337412121321156
Node_58;0.002840318123448843;-1.0281857126750011
Node_59;0.3659622005787902;0.27671173471368093
Node_60;0.11963886637857184;0.6998998460049342
Node_61;-0.15769710769851653;0.1823404671588076
Node_62;0.20009817932193408;-0.2335300032465829
Node_63;0.15739439516840809;-0.40475444291464185
Node_64;-0.13237870074071956;0.41228307625029564
