,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,0,1,0.05423280423280423,0.7367720356753226
1,0,12,0.02601410934744268,0.5423078342173692
2,0,17,0.01984126984126984,0.31680168795441765
3,0,21,0.07142857142857142,1.0572216952101205
4,0,4,0.04056437389770723,1.3556026110736346
5,0,9,0.07627865961199293,1.8117914595587405
6,1,2,0.03968253968253968,0.6221374806536256
7,1,3,0.12301587301587301,2.6861436152133678
8,1,4,0.031746031746031744,1.0470368791934948
9,1,5,0.03835978835978836,0.39610600646292937
10,1,6,0.09391534391534391,1.717486425848486
11,10,12,0.034832451499118164,0.6926881996072114
12,10,13,0.021164021164021163,0.4077885561000508
13,10,14,0.047619047619047616,1.234410188679921
14,10,6,0.029541446208112873,0.2259712447417292
15,11,16,0.04365079365079365,0.8813084249332996
16,11,19,0.037037037037037035,1.2233656683001524
17,11,3,0.05952380952380952,1.7382774691422873
18,12,5,0.03218694885361552,0.4950368408583551
19,12,8,0.03571428571428571,0.8344940561673209
20,13,16,0.023809523809523808,0.7033049276503929
21,13,9,0.026455026455026454,0.45237028182004546
22,14,15,0.0582010582010582,1.8153665329042872
23,14,19,0.1111111111111111,4.565496336604247
24,14,6,0.023809523809523808,0.9973944235584232
25,14,9,0.06349206349206349,1.5157364766171026
26,15,16,0.07275132275132275,2.405507903172504
27,15,20,0.07142857142857142,1.019566286437947
28,15,4,0.047619047619047616,1.4454107784200025
29,15,5,0.08333333333333333,1.8571634070642131
30,15,9,0.047619047619047616,0.33837772719702797
31,16,19,0.018518518518518517,1.151350603062733
32,16,2,0.042328042328042326,0.9501401139207565
33,16,24,0.07142857142857142,0.7330581981248256
34,16,9,0.07142857142857142,1.9284286876623227
35,17,9,0.051587301587301584,0.6831983120455822
36,18,19,0.018518518518518517,0.4077885561000508
37,18,9,0.05291005291005291,0.7478866533703874
38,19,25,0.07142857142857142,0.7051970662708137
39,22,3,0.07142857142857142,0.9414993935711555
40,23,4,0.07142857142857142,0.8988098064715818
41,26,9,0.07142857142857142,1.2141758158992826
42,27,8,0.07142857142857142,1.0578877214021956
43,4,8,0.035273368606701945,1.4248155294667095
44,5,6,0.03218694885361551,0.6294267339247178
45,6,7,0.07142857142857142,1.1556752094704383
46,6,8,0.06922398589065255,0.9856256723948895
47,8,9,0.12786596119929453,2.289142224708509
