,Node,Degree Centrality,Degree Centrality Absolute,Degree Centrality Scaled,Degree Centrality Scaled Cap,Closeness Centrality,Adjusted Closeness Centrality
0,0,0.23529411764705882,4.0,0.8,,0.16346153846153846,
1,1,0.29411764705882354,5.0,1.0,1.0,0.18478260869565216,1.7154240891097794
2,2,0.11764705882352941,2.0,0.4,,0.11486486486486487,
3,3,0.23529411764705882,4.0,0.8,0.8,0.14166666666666666,1.1088700146467498
4,4,0.11764705882352941,2.0,0.4,0.4,0.14166666666666666,1.0321406123544414
5,5,0.1764705882352941,2.9999999999999996,0.5999999999999999,,0.15454545454545454,
6,6,0.1764705882352941,2.9999999999999996,0.5999999999999999,0.5999999999999999,0.15178571428571427,1.2001293659475318
7,7,0.058823529411764705,1.0,0.2,0.2,0.10625,0.7500505315304236
8,8,0.23529411764705882,4.0,0.8,,0.12142857142857143,
9,9,0.11764705882352941,2.0,0.4,,0.08095238095238096,
10,10,0.1764705882352941,2.9999999999999996,0.5999999999999999,,0.12878787878787878,
11,11,0.058823529411764705,1.0,0.2,0.2,0.085,0.5763182895247069
12,12,0.058823529411764705,1.0,0.2,,0.0752212389380531,
13,13,0.058823529411764705,1.0,0.2,,0.10897435897435898,
14,14,0.058823529411764705,1.0,0.2,,0.11486486486486487,
15,15,0.058823529411764705,1.0,0.2,,0.10365853658536585,
16,16,0.058823529411764705,1.0,0.2,,0.14166666666666666,
17,17,0.058823529411764705,1.0,0.2,,0.1349206349206349,
