,Node,Degree Centrality,Degree Centrality Absolute,Degree Centrality Scaled,Degree Centrality Scaled Cap,Closeness Centrality,Adjusted Closeness Centrality
0,0,0.14814814814814814,4.0,0.5,,0.12217194570135746,
1,1,0.25925925925925924,7.0,0.875,0.875,0.1836734693877551,1.2191019610273781
2,2,0.18518518518518517,5.0,0.625,0.625,0.13636363636363635,1.2192079222981151
3,3,0.25925925925925924,7.0,0.875,,0.16770186335403728,
4,4,0.2962962962962963,8.0,1.0,,0.17307692307692307,
5,5,0.1111111111111111,3.0,0.375,0.375,0.11790393013100436,0.8669825416777394
6,6,0.14814814814814814,4.0,0.5,0.5,0.140625,1.1025806993242537
7,7,0.25925925925925924,7.0,0.875,0.875,0.17088607594936708,1.8615022317169307
8,8,0.1111111111111111,3.0,0.375,,0.13432835820895522,
9,9,0.18518518518518517,5.0,0.625,,0.1534090909090909,
10,10,0.1111111111111111,3.0,0.375,0.375,0.1323529411764706,1.1696781649379904
11,11,0.1111111111111111,3.0,0.375,0.375,0.15976331360946747,1.4898819449920653
12,12,0.1111111111111111,3.0,0.375,0.375,0.135678391959799,1.079307243127042
13,13,0.07407407407407407,2.0,0.25,0.25,0.14516129032258066,1.5283976112223663
14,14,0.07407407407407407,2.0,0.25,0.25,0.13989637305699482,1.158577091157587
15,15,0.2222222222222222,6.0,0.75,,0.17763157894736842,
16,16,0.1111111111111111,3.0,0.375,,0.1377551020408163,
17,17,0.2222222222222222,6.0,0.75,0.75,0.17647058823529413,1.2160054771522253
18,18,0.07407407407407407,2.0,0.25,0.25,0.140625,1.022177342578993
19,19,0.18518518518518517,5.0,0.625,,0.15517241379310345,
20,20,0.037037037037037035,1.0,0.125,,0.15168539325842698,
21,21,0.037037037037037035,1.0,0.125,,0.10931174089068826,
22,22,0.037037037037037035,1.0,0.125,,0.1443850267379679,
23,23,0.037037037037037035,1.0,0.125,,0.14835164835164835,
24,24,0.037037037037037035,1.0,0.125,,0.12162162162162163,
25,25,0.037037037037037035,1.0,0.125,,0.135,
26,26,0.037037037037037035,1.0,0.125,,0.13366336633663367,
27,27,0.037037037037037035,1.0,0.125,,0.11894273127753303,
