Nodes;Y;X
Node_0;0.15485611367026553;0.35559945247800195
Node_1;-0.07548136621042793;-0.0035023041315538125
Node_2;-0.2796442542631433;-0.4255875668539371
Node_3;-0.2994225995783263;-0.206548059946464
Node_4;0.050576786519053125;-0.05389225898611315
Node_5;-0.35737681869675386;-0.01679706125677425
Node_6;0.1934767358236672;-0.19918691701070312
Node_7;0.07970166192304366;-0.721831981941154
Node_8;-0.2850543716243682;0.2210859572130225
Node_9;0.11024365317216213;0.22941714413494177
Node_10;-0.001465028514038952;-0.2647611667059455
Node_11;-0.7266850878361931;-0.30434928316454524
Node_12;-0.5470617584953946;0.5477599317438435
Node_13;0.055134731221650815;0.6825828497914704
Node_14;0.6032825896031012;-0.41070169882608687
Node_15;0.37901732934262655;-0.45121583374346297
Node_16;-0.021135475443308335;1.0
Node_17;0.4506008265744097;0.45114475414421124
Node_18;0.46718449684282987;-0.10201311267681445
Node_19;0.30760638379012073;-0.27686133659951523
Node_20;0.7745764368176145;-0.46555580840316
Node_21;-0.6228460687853269;0.3319682499375789
Node_22;-0.524406977352295;-0.21110961002011602
Node_23;-0.18627492921832878;0.08493770445148252
Node_24;-0.12231911147978014;-0.8081122574229745
Node_25;0.2322720321264512;0.11026503921054134
Node_26;0.5249845752227783;-0.26723975135173156
Node_27;0.3229008156826772;0.6605737804734312
Node_28;-0.10209511211606705;0.34378490279168167
Node_29;-0.5551462087186967;0.1701462426708474
Node_30;0.1561531591932187;0.3300959125848816
Node_31;-0.49198281774255387;-0.23973331368260647
Node_32;-0.3332301134732829;-0.003803040797806169
Node_33;0.15298437902467882;0.20260796299558365
Node_34;0.40892984220463485;-0.44939933005819155
Node_35;0.02829029370335756;0.6491732491155449
Node_36;0.1932556326734466;-0.19091445294917114
Node_37;-0.5867124099758487;0.12163573434687064
Node_38;0.3200141385717233;0.6833981132917574
Node_39;-0.0336213170330736;0.009051096441992585
