,Node,Degree Centrality,Degree Centrality Absolute,Degree Centrality Scaled,Degree Centrality Scaled Cap,Closeness Centrality,Adjusted Closeness Centrality
0,0,0.15384615384615385,6.0,0.75,,0.14391143911439114,
1,1,0.20512820512820512,8.0,1.0,,0.15354330708661418,
2,2,0.07692307692307693,3.0,0.375,0.375,0.12037037037037036,1.1540199138141811
3,3,0.1282051282051282,5.0,0.625,0.625,0.13978494623655913,1.3296318133421412
4,4,0.1794871794871795,7.0,0.875,0.875,0.1598360655737705,1.5559316818647233
5,5,0.10256410256410256,4.0,0.5,,0.12745098039215685,
6,6,0.1794871794871795,7.0,0.875,,0.16115702479338842,
7,7,0.05128205128205128,2.0,0.25,0.25,0.12580645161290321,1.3817419810306986
8,8,0.1794871794871795,7.0,0.875,0.875,0.1598360655737705,1.537166285220733
9,9,0.1794871794871795,7.0,0.875,,0.15294117647058825,
10,10,0.1282051282051282,5.0,0.625,0.625,0.14181818181818182,1.5126388513390683
11,11,0.02564102564102564,1.0,0.125,0.125,0.09923664122137404,0.9504909226340102
12,12,0.02564102564102564,1.0,0.125,0.125,0.10893854748603352,1.05202505260099
13,13,0.07692307692307693,3.0,0.375,,0.09974424552429667,
14,14,0.10256410256410256,4.0,0.5,0.5,0.1326530612244898,1.559207159402655
15,15,0.10256410256410256,4.0,0.5,,0.12380952380952381,
16,16,0.02564102564102564,1.0,0.125,0.125,0.0718232044198895,0.8518923982620353
17,17,0.02564102564102564,1.0,0.125,0.125,0.10569105691056911,1.1568891383754834
18,18,0.07692307692307693,3.0,0.375,0.375,0.11641791044776119,1.252093932636276
19,19,0.05128205128205128,2.0,0.25,0.25,0.11676646706586827,1.1495359982887152
20,20,0.05128205128205128,2.0,0.25,0.25,0.10344827586206896,1.1441379856031222
21,21,0.05128205128205128,2.0,0.25,0.25,0.10317460317460317,0.9749117841419777
22,22,0.07692307692307693,3.0,0.375,,0.1291390728476821,
23,23,0.15384615384615385,6.0,0.75,0.75,0.1482889733840304,1.6175154189250556
24,24,0.05128205128205128,2.0,0.25,0.25,0.104,1.0222762057053711
25,25,0.07692307692307693,3.0,0.375,0.375,0.14181818181818182,1.5629114145277172
26,26,0.07692307692307693,3.0,0.375,0.375,0.13175675675675674,1.345469425096157
27,27,0.05128205128205128,2.0,0.25,,0.09397590361445783,
28,28,0.07692307692307693,3.0,0.375,0.375,0.13541666666666666,1.313310876052971
29,29,0.07692307692307693,3.0,0.375,,0.09948979591836735,
30,30,0.02564102564102564,1.0,0.125,,0.1262135922330097,
31,31,0.02564102564102564,1.0,0.125,,0.11470588235294117,
32,32,0.02564102564102564,1.0,0.125,,0.11337209302325581,
33,33,0.02564102564102564,1.0,0.125,,0.13310580204778158,
34,34,0.02564102564102564,1.0,0.125,,0.11048158640226628,
35,35,0.02564102564102564,1.0,0.125,,0.09090909090909091,
36,36,0.02564102564102564,1.0,0.125,,0.1392857142857143,
37,37,0.02564102564102564,1.0,0.125,,0.09069767441860466,
38,38,0.02564102564102564,1.0,0.125,,0.08609271523178808,
39,39,0.02564102564102564,1.0,0.125,,0.13356164383561644,
