,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,0,1,0.03194444444444444,1.1456589361173712
1,0,25,0.053205128205128197,1.920656770718334
2,0,27,0.09743589743589744,4.511327552791643
3,0,28,0.011324786324786323,0.32862467414074564
4,0,30,0.05,1.432120780348574
5,0,4,0.1310897435897436,4.351367134995112
6,1,2,0.05427350427350427,1.1828525716306566
7,1,25,0.01282051282051282,0.23241354189924265
8,1,28,0.02542735042735043,0.7599260135816219
9,1,3,0.030662393162393164,0.5992552893082604
10,1,39,0.05,0.8977556597814372
11,1,5,0.04358974358974359,1.628961119994159
12,1,6,0.07606837606837608,2.764789392556489
13,10,15,0.021367521367521364,1.9698235805142839
14,10,23,0.04957264957264957,1.8151809660259965
15,10,3,0.010683760683760682,0.8915525982328507
16,10,4,0.011965811965811967,0.20100406589990677
17,10,6,0.03760683760683761,0.8103253274753721
18,11,3,0.05,1.277688881033555
19,12,8,0.05,0.9999999999999998
20,13,16,0.05,1.112970477684459
21,13,35,0.05,0.8748081166764503
22,13,9,0.1423076923076923,9.132649424601166
23,14,15,0.04807692307692308,3.5603648745665866
24,14,20,0.02564102564102564,0.78181766706668
25,14,26,0.010576923076923078,0.04401679410772384
26,14,6,0.09455128205128205,4.061256814714636
27,15,26,0.03568376068376068,3.0466442332968646
28,15,34,0.05,0.9669011278304358
29,17,9,0.05,1.112970477684459
30,18,19,0.029487179487179487,0.7251630591836568
31,18,20,0.03205128205128205,0.7624612035303521
32,18,9,0.06025641025641025,1.5131562969202381
33,19,4,0.05641025641025641,1.0995521042749123
34,2,22,0.04412393162393163,0.8528335717267587
35,2,24,0.033012820512820513,0.4152929014096547
36,21,29,0.02564102564102564,0.5629447941574056
37,21,8,0.06025641025641026,1.1939782509804895
38,22,31,0.05,1.0523861226060425
39,22,8,0.10566239316239316,2.218223401280692
40,23,29,0.08205128205128205,2.0744912185668167
41,23,4,0.029487179487179487,0.44306235138935707
42,23,5,0.03888888888888888,1.820916515045215
43,23,8,0.013888888888888888,0.0777830790746376
44,23,9,0.051923076923076926,2.0982029547032255
45,24,7,0.02467948717948718,0.6624901776649827
46,25,6,0.0673076923076923,2.462302273450172
47,26,4,0.0763888888888889,3.67356338649513
48,27,38,0.05,1.3653193613809962
49,28,8,0.02863247863247863,0.7405695500452942
50,29,37,0.05,0.9689826577113656
51,3,4,0.08878205128205129,3.2032259249714303
52,3,5,0.03547008547008547,2.014370026862039
53,32,5,0.05,1.49189274799099
54,33,9,0.05,0.9872051911288141
55,36,6,0.05,0.9559832058922759
56,4,8,0.12873931623931623,4.665080997092053
57,6,7,0.06442307692307692,1.584707098590345
58,6,9,0.13205128205128205,5.982947893444204
59,8,9,0.14166666666666666,5.306213174231124
