,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,0,1,0.3055555555555555,2.7867949091574373
1,0,4,0.08333333333333333,1.1911966061049581
2,0,8,0.2222222222222222,0.404401696947521
3,1,2,0.19444444444444442,1.103142742898985
4,1,3,0.38888888888888884,2.015088879693012
5,1,5,0.2777777777777778,1.301258954048536
6,2,4,0.19444444444444442,1.0
7,2,5,0.1111111111111111,0.30125895404853587
8,3,7,0.2222222222222222,0.746227780076747
9,5,6,0.2222222222222222,0.8493705229757321
