,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,0,1,0.3333333333333333,3.2804672477454497
1,0,2,0.05555555555555555,0.7601557492484832
2,0,8,0.2222222222222222,0.23984425075151683
3,1,3,0.3333333333333333,1.581470606609106
4,1,4,0.2222222222222222,1.0
5,1,5,0.38888888888888884,1.1380621456454447
6,2,3,0.05555555555555555,0.19382353553636864
7,2,5,0.1111111111111111,0.04602071521514821
8,3,7,0.2222222222222222,0.8061764644636313
9,5,6,0.2222222222222222,0.9539792847848518
